DEBUG 2022-04-27 13:54:42,245 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Applications.Dto.ApplicationListDto
DEBUG 2022-04-27 13:54:42,376 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Applications.Dto.ApplicationListCrsDto
DEBUG 2022-04-27 13:54:42,376 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Applications.Dto.CreateApplicationDto
DEBUG 2022-04-27 13:54:42,376 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Applications.Dto.UpdateApplicationDto
DEBUG 2022-04-27 13:54:42,377 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.ApiCallLogs.Dto.ApiCallLogListDto
DEBUG 2022-04-27 13:54:42,377 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.ApiCallLogs.Dto.CreateApiCallLogDto
DEBUG 2022-04-27 13:54:42,377 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.AllScreensGetByAppID.Dto.LoanStatusDto
DEBUG 2022-04-27 13:54:42,378 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2022-04-27 13:54:42,378 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Web.Models.Roles.EditRoleModalViewModel
INFO  2022-04-27 13:54:50,078 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2022-04-27 13:54:50,078 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:62114/  0
INFO  2022-04-27 13:54:50,191 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 113.1102ms 200 
INFO  2022-04-27 13:54:56,900 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Login", controller = "Account", area = ""}. Executing action TFCLPortal.Web.Controllers.AccountController.Login (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:55:01,366 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Controllers.AccountController.Login (TFCLPortal.Web.Mvc) with arguments (, , ) - Validation state: Valid
